Date,Product Name,Quantity
2024-07-09,Kentaste Coconut Milk - 250ml,4
2024-07-10,Kentaste Coconut Milk - 250ml,2
2024-07-11,Kentaste Coconut Milk - 250ml,2
2024-07-12,Kentaste Coconut Milk - 250ml,2
2024-07-13,Kentaste Coconut Milk - 250ml,1
2024-07-14,Kentaste Coconut Milk - 250ml,1
2024-07-20,Kentaste Coconut Milk - 250ml,2
2024-07-21,Kentaste Coconut Milk - 250ml,1
2024-07-22,Kentaste Coconut Milk - 250ml,1
2024-07-23,Kentaste Coconut Milk - 250ml,2
2024-07-24,Kentaste Coconut Milk - 250ml,5
2024-07-25,Kentaste Coconut Milk - 250ml,3
2024-07-26,Kentaste Coconut Milk - 250ml,5
2024-07-27,Kentaste Coconut Milk - 250ml,1
2024-07-28,Kentaste Coconut Milk - 250ml,5
2024-07-29,Kentaste Coconut Milk - 250ml,6
2024-07-30,Kentaste Coconut Milk - 250ml,9
2024-07-31,Kentaste Coconut Milk - 250ml,3
2024-08-02,Kentaste Coconut Milk - 250ml,4
2024-08-03,Kentaste Coconut Milk - 250ml,3
2024-08-04,Kentaste Coconut Milk - 250ml,6
2024-08-05,Kentaste Coconut Milk - 250ml,4
2024-08-06,Kentaste Coconut Milk - 250ml,2
2024-08-07,Kentaste Coconut Milk - 250ml,5
2024-08-08,Kentaste Coconut Milk - 250ml,5
2024-08-13,Kentaste Coconut Milk - 250ml,9
